STATE,COUNTY,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE,OTHER
"California","Sonoma",63529,117295,14324,530,926,220,0,182,0,0,0,0,0,0,0,0,0,16182
"California","Stanislaus",67188,56448,3398,569,347,233,0,84,0,0,0,0,0,0,0,0,0,4631
"California","Sutter",17350,8416,594,88,65,35,0,16,0,0,0,0,0,0,0,0,0,798
"California","Tehama",13270,6507,697,204,117,49,0,10,0,0,0,0,0,0,0,0,0,1077
"California","Trinity",3340,1932,396,42,60,21,0,6,0,0,0,0,0,0,0,0,0,525
"California","Tulare",54070,33006,1834,513,220,125,0,50,0,0,0,0,0,0,0,0,0,2742
"California","Tuolumne",13172,9359,949,95,93,35,0,24,0,0,0,0,0,0,0,0,0,1196
"California","Ventura",136173,133258,10235,1208,1241,316,0,261,0,0,0,0,0,0,0,0,0,13261
"California","Yolo",23057,33747,4107,218,199,62,0,46,0,0,0,0,0,0,0,0,0,4632
"California","Yuba",9838,5546,507,108,71,41,0,16,0,0,0,0,0,0,0,0,0,743
"Colorado","Adams",47561,54132,4165,998,776,62,0,78,26,25,29,0,0,0,0,0,0,6159
"Colorado","Alamosa",2857,2455,265,43,28,1,0,4,2,2,2,0,0,0,0,0,0,347
"Colorado","Arapahoe",97768,82614,6952,905,1305,130,0,213,24,12,19,0,0,0,0,0,0,9560
"Colorado","Archuleta",2988,1432,265,30,25,8,0,10,0,0,0,0,0,0,0,0,0,338
"Colorado","Baca",1663,531,47,26,5,2,0,3,1,0,0,0,0,0,0,0,0,84
"Colorado","Bent",1096,783,44,22,9,1,0,4,1,0,3,0,0,0,0,0,0,84
"Colorado","Boulder",50873,69983,16498,477,1278,85,0,371,36,13,12,0,0,0,0,0,0,18770
"Colorado","Chaffee",4300,2768,459,44,35,2,0,2,0,0,0,0,0,0,0,0,0,542
"Colorado","Cheyenne",957,209,22,13,7,3,0,0,1,0,0,0,0,0,0,0,0,46
"Colorado","Clear Creek",2247,2188,354,43,77,1,0,12,2,0,0,0,0,0,0,0,0,489
"Colorado","Conejos",1772,1749,79,47,10,7,0,6,1,0,0,0,0,0,0,0,0,150
"Colorado","Costilla",504,1054,71,11,6,0,0,2,0,0,0,0,0,0,0,0,0,90
"Colorado","Crowley",855,511,28,40,5,3,0,1,1,0,1,0,0,0,0,0,0,79
"Colorado","Custer",1451,507,100,24,17,10,0,2,0,0,0,0,0,0,0,0,0,153
